from,to,type
/relogio-pulseira-de-couro-laranja-com-zirconia.html,/relogios,PERMANENT
/pingentes-de-prata-jolie-cadeado.html,/jolie/charms,PERMANENT
/especial-brincos-html.html,/joias/brincos,PERMANENT
/joias/colares/ouro%20ros%C3%A9%2018k,/joias/colares,PERMANENT
/colecao-veu,/joias/colecao/veu,PERMANENT
"/joias/colares/215/de-0-a-200/Perola?PS=50&map=c,c,productClusterSearchableIds,priceFrom,specificationFilter_32&O=OrderByNameASC",/joias/colares,PERMANENT
/pingentes-de-prata-jolie-london-bus.html,/jolie/charms,PERMANENT
/aneis-30/,/joias/aneis,PERMANENT
/relogios/colecao/victorinox,/relogios/victorinox,PERMANENT
/saledejoiasemprata.html,/sale,PERMANENT
/relogio-casual-prateado-com-pulseira-de-couro-preta-com-textura.html,/relogios,PERMANENT
/presentes-html/l/unissex.html,/,PERMANENT
/especial-pingentes.html,/,PERMANENT
/colecao-atlantica,/atlantica,TEMPORARY
/charm-cupcake-----jolie-hobbies-1525133-cake,/jolie/charms,PERMANENT
/alianca-de-ouro-amarelo-18k-diamante-lapidac-o-brilhante.html,/aliancas,PERMANENT
"/correntes/l/price:1,500.html",/joias/colares,PERMANENT
/colecao-fiesta,/joias/colecao/fiesta,PERMANENT
http://www.montecarlo.com.br/brinco-em-prata-com-zirconia---princess-b-21021-ag/p,/,PERMANENT
"/aliancas/alianca/Ouro Amarelo 18k/14/diamante?PS=27&map=c,c,specificationFilter_22,specificationFilter_21,ft",/aliancas/alianca,PERMANENT
"/joias/colares/147/Pedra Colorida/Ouro Branco 18k/de-0-a-200?O=OrderByTopSaleDESC&PS=15&map=c,c,productClusterIds,specificationFilter_32,specificationFilter_24,priceFrom",/joias/colares,PERMANENT
/pulseira-de-ouro-amarelo-18k-lumiere.html,/joias/pulseiras,PERMANENT
"/relogios/374/Pulseira de a�o?O=OrderByNameASC&PS=27&map=c,productClusterIds,specificationFilter_40",/relogios,PERMANENT
/relogio-monte-carlo-mc404-gg-cha,/relogios/monte-carlo,PERMANENT
/catalogsearch/result/index//l/1224/1201.html/?cat=3&q=diamantes&ref_tamanho=1214&utm_campaign=banner_diamantes080&utm_medium=banner&utm_source=banner_diamantes0807,/,PERMANENT
/gargantilha-de-ouro-amarelo-18k-com-rubis-de-laco.html,/joias/colares,PERMANENT
/pingentes-de-prata-jolie-solitario.html,/jolie/charms,PERMANENT
http://www.montecarlo.com.br/pingentes-de-prata-com-zirconia---jolie-hobbies-pghs161-microfone/p,/,PERMANENT
/colecao-relevos,/joias/colecao/relevos,PERMANENT
/colecao-oceano,/joias/colecao/oceano,PERMANENT
/pingentes-de-prata-jolie-sao-paulo.html,/joias/pingentes,PERMANENT
"/aneis/monte-carlo/Ouro Amarelo 18k/23/Pedra Colorida?PS=15&map=c,b,specificationFilter_20,specificationFilter_19,specificationFilter_30",/joias/aneis,PERMANENT
/brinco-precious-de-prata-de-prata-com-pedra-sintetica-e-zirconia.html,/joias/brincos,PERMANENT
/relogios/colecao/michael-kors,/relogios/michael-kors,PERMANENT
"/jolie/Prata/de-70-a-200/Charms/ouro?PS=45&map=c,specificationFilter_41,priceFrom,specificationFilter_38,ft",/jolie/charms,PERMANENT
/relogios/336/masculino/monte carlo,/relogios/monte-carlo,PERMANENT
/pingente-de-prata-siga-o-seu-coracao.html,/joias/pingentes,PERMANENT
/pingente-de-ouro-amarelo-18k-e-rodio-diamante-2-de-0-008cts-no-total-lapidac-o-brilhante.html,/joias/pingentes,PERMANENT
"/aliancas/Diamante/de-5001-a-40000?PS=27&map=c,specificationFilter_29,priceFrom?PS=27&O=OrderByReleaseDateDESC",/aliancas/alianca,PERMANENT
/colecao-inesquec�vel,/joias/colecao/inesquec�vel,PERMANENT
/aneis/l/diamantes/18.html,/joias/aneis,PERMANENT
"/aneis/monte-carlo/Prata?PS=30&map=c,b,specificationFilter_20",/joias/aneis,PERMANENT
/anel-de-prata-e-rodio-quartzo-negro-diamante-ice.html,/joias/aneis,PERMANENT
/pingente-de-ouro-amarelo-18k-meus-amores-separador.html,/joias/pingentes,PERMANENT
/colecao-fantasy,/joias/colecao/fantasy,PERMANENT
https://www.montecarlo.com.br/anel-em-prata-com-zirconia-glamour-an-0279/p,/,PERMANENT
/presentes-cores-html.html?ref_tamanho=0,/,PERMANENT
"/joias/correntes/2356/Ouro%20Branco?O=OrderByReleaseDateDESC&PS=10&map=c,c,productClusterSearchableIds,specificationFilter_47",/joias/correntes,PERMANENT
/pingente-de-ouro-amarelo-18k-perola-1-no-total.html,/joias/pingentes,PERMANENT
"/relogios/l/masculino/price:3,300.html",/relogios/masculino,PERMANENT
/relogio-rose-com-coroa-no-mostrador.html,/relogios,PERMANENT
/relogio-trend-rose-pulseira-slim-mostrador-roxo.html,/relogios,PERMANENT
"/joias/colares/289/Prata/215/de-0-a-200/Perola?PS=50&map=c,c,productClusterIds,specificationFilter_24,productClusterSearchableIds,priceFrom,specificationFilter_32&O=OrderByNameDESC",/joias/colares,PERMANENT
/colecao-brindes-diversos,/joias/colecao/brindes-diversos,PERMANENT
"/joias/colares/215/de-0-a-200/Ouro Amarelo 18k/Diamante/khloe?PS=50&map=c,c,productClusterSearchableIds,priceFrom,specificationFilter_24,specificationFilter_32,ft&O=OrderByNameASC",/joias/colares,PERMANENT
/anel-em-ouro-amarelo-18k-com-diamante-lunar-bmc20af-oa,/joias/aneis,PERMANENT
/catalogsearch/result/index//l/1228/1211.html/?cat=348&material=1227&q=prata&ref_tamanho=1237,/,PERMANENT
/aneis/l/11.html,/joias/aneis,PERMANENT
/pingentes-de-prata-com-zirconia---jolie-decorativos-pgh0138-crav-azul?ft=pingentes-de-prata-com-zirconia---jolie-decorativos-pgh0138-crav-azul,/jolie/charms,PERMANENT
/presente%20de%20m�e,/dia-das-maes,PERMANENT
/ocasioes/casamento?fq=H:2105,/casamento,PERMANENT
"/festival-de-diamantes-1/l/diamantes/price:3,500.html",/,PERMANENT
/presente%20de%20mae,/dia-das-maes,PERMANENT
/pingente-de-ouro-amarelo-18k-diamante-nossa-senhora-de-fatima.html,/joias/pingentes,PERMANENT
/pingente-de-ouro-amarelo-18k-ametista-oval-chance.html,/joias/pingentes,PERMANENT
"/joias/colares/147/Prata/215/Perola?PS=15&map=c,c,productClusterIds,specificationFilter_24,productClusterSearchableIds,specificationFilter_32&O=OrderByNameASC",/joias/colares,PERMANENT
/pingentes-de-prata-jolie-lua.html,/joias/pingentes,PERMANENT
/charm-nossa-senhora-----jolie-fe-e-sorte-as823-n.senhora,/jolie/charms,PERMANENT
/catalogsearch/result/index//l/1228/1210.html/?cat=3&q=musa&ref_tamanho=1202,/,PERMANENT
/joias/colecao/veneza,/aliancas/colecao/veneza,PERMANENT
/colecao-blumarine,/joias/colecao/blumarine,PERMANENT
"/aliancas/Diamante/14?PS=50&map=c,specificationFilter_29,specificationFilter_21",/aliancas/alianca,PERMANENT
/pingente-oriens-de-ouro-amarelo-18k-com-diamantes-e-esmeraldas-navete.html,/oriens,PERMANENT
/colecao-mondaine,/joias/colecao/mondaine,PERMANENT
"/joias/colares/249/215/Diamante/de-501-a-1000/Ouro Amarelo 18k?O=OrderByReviewRateDESC&PS=50&map=c,c,productClusterIds,productClusterSearchableIds,specificationFilter_32,priceFrom,specificationFilter_24",/joias/colares,PERMANENT
/colecao-desejos,/joias/colecao/desejos,PERMANENT
/colecao-floral,/joias/colecao/floral,PERMANENT
/colecao-classic,/acessorios/canetas,PERMANENT
"/joias/colares/313/de-0-a-200/Perola?O=OrderByTopSaleDESC&map=c,c,productClusterIds,priceFrom,specificationFilter_32&PS=108",/joias/colares,PERMANENT
/relogio-off-com-pulseira-de-couro-azul.html,/relogios,PERMANENT
/especial-pingentes/l/diamantes.html,/,PERMANENT
/colecao-technos,/joias/colecao/technos,PERMANENT
/3430?O=OrderByReleaseDateDESC&map=productClusterIds,/joias/aneis/meia-alianca,PERMANENT
/joias/colecao/valsa,/aliancas/colecao/valsa,PERMANENT
/gargantilha-de-ouro-branco-18k-com-safiras.html,/joias/colares,PERMANENT
/pingente-de-ouro-amarelo-alfinete.html,/joias/pingentes,PERMANENT
/maisde50perc?map=specificationFilter_143,/,PERMANENT
/relogio-dourado-com-mostrador-floral-e-tachas.html,/relogios,PERMANENT
/relogio-monte-carlo-simples-feminino-medio-com-cor-preto-pulseira-de-couro-com-cor-preto-trend.html,/relogios/monte-carlo,PERMANENT
/pulseira-em-ouro-amarelo-18k-pulseiras-1212844-oa,/joias/pulseiras,PERMANENT
/colecao-gala,/joias/colecao/gala,PERMANENT
"/joias/colares/256/de-0-a-200/Perola/215/Prata?PS=50&map=c,c,productClusterIds,priceFrom,specificationFilter_32,productClusterSearchableIds,specificationFilter_24&O=OrderByPriceASC",/joias/colares,PERMANENT
/glass-dots-----jolie-glass-pgh0203-dots-pt,/jolie/charms,PERMANENT
/colecao-senses,/joias/colecao/senses,PERMANENT
/catalogsearch/result/index//l/1234/1210.html/?material=1228&p=2&q=diamantes&utm_campaign=banner_diamantes080&utm_medium=banner&utm_source=banner_diamantes0807,/,PERMANENT
/relogio-dumont-du2315ar-4b,/relogios/dumont,PERMANENT
"/joias/colares/de-2501-a-5000/Diamante/Ouro Branco 18k?PS=24&map=c,c,priceFrom,specificationFilter_32,specificationFilter_24&O=OrderByNameDESC",/joias/colares,PERMANENT
/colecao-seducao,/joias/colecao/seducao,PERMANENT
/joias/brincos/235,/joias/brincos,PERMANENT
/relogio-michael-kors-feminino-em-aco-rose-mk3585-4pn/undefined?PS=27&O=OrderByReleaseDateDESC,/relogios/michael-kors,PERMANENT
/colecao-candle,/joias/colecao/candle,PERMANENT
/joias/infantil/de-501-a-1000/pingentes/ouro amarelo 18k,/joias/infantil,PERMANENT
/corrente-de-ouro-branco-18k-veneziana.html,/joias/colares,PERMANENT
/relogio-technos--2035mev-4x,/relogios/technos,PERMANENT
/colecao-aquarelle,/joias/colecao/aquarelle,PERMANENT
/relogio-dourado-pulseira-couro-glitter.html,/relogios,PERMANENT
/colecao-versalhes,/joias/colecao/versalhes,PERMANENT
http://www.montecarlo.com.br/relogios?O=OrderByPriceASC&PS=15,/,PERMANENT
/relogio-calvin-klein-feminino-em-aco-dourado-321.3546,/relogios/calvin-klein,PERMANENT
/pingente-ancora-de-ouro-amarelo-europeu.html,/joias/pingentes,PERMANENT
/colecao-perolas,/joias/colecao/perolas,PERMANENT
"/aliancas/alianca/10/de-0-a-200?O=OrderByPriceASC&PS=50&map=c,c,specificationFilter_21,priceFrom",/aliancas/alianca,PERMANENT
/colecao-correntes%20prata,/joias/colecao/correntes-prata,PERMANENT
"/relogios/monte-carlo/Euro/de-101-a-200?O=OrderByBestDiscountDESC&PS=50&map=c,b,specificationFilter_45,priceFrom",/relogios/euro,PERMANENT
"/aliancas/alianca/18/16?PS=27&map=c,c,specificationFilter_21,ft",/aliancas/alianca,PERMANENT
/anel-em-ouro-branco-18k-com-diamante-rubi-intense-nim000014/p,/AnelINTENSE---NIM000014/p,PERMANENT
/blog/?p=3488,/,PERMANENT
"/joias/colares/P�rola/215/de-501-a-1000/Ouro Branco 18k?PS=50&map=c,c,specificationFilter_32,productClusterSearchableIds,priceFrom,ft&O=OrderByTopSaleDESC",/joias/colares,PERMANENT
/colecao-glam,/joias/colecao/glam,PERMANENT
/relogios/euro/de-101-a-200/outras pulseiras/feminino,/relogios/euro,PERMANENT
/colecao-enigma,/joias/colecao/enigma,PERMANENT
"/joias/colares/189/Perola/de-0-a-200?PS=50&map=c,c,productClusterIds,specificationFilter_32,priceFrom&O=",/joias/colares,PERMANENT
/joias/colecao/paixao,/aliancas/colecao/paixao,PERMANENT
/relogio-de-aco-mc4017-ss-p/undefined?PS=27&O=OrderByReleaseDateDESC,/relogios,PERMANENT
/pingente-ponto-de-luz-de-ouro-amarelo-de-20-pontos.html,/jolie/charms,PERMANENT
/relogio-masculino-de-aco-com-cronografo-e-calendario-22839.html,/relogios,PERMANENT
/pulseira-de-prata-18-cm-----jolie-basicos-pu-hc030-18cm,/jolie/pulseiras,PERMANENT
"/jolie/Momentos/Prata/Pingentes/momentos?O=OrderByTopSaleDESC&PS=27&map=c,specificationFilter_39,specificationFilter_41,specificationFilter_38,ft",/jolie,PERMANENT
/colecao-forever,/joias/colecao/forever,PERMANENT
/colecao-kids,/joias/colecao/kids,PERMANENT
/aniversario-monte-carlo,/aniversario-montecarlo,PERMANENT
/anel-de-ouro-amarelo-18k-com-esmeralda-e-diamantes-oriens.html,/joias/aneis,PERMANENT
/black-friday,/off,PERMANENT
/relogio-monte-carlo-mc7083-ss-ge--pt-/undefined?PS=27&O=OrderByReleaseDateDESC,/relogios/monte-carlo,PERMANENT
"/joias/colares/monte-carlo/Ouro Amarelo 18k/de-501-a-1000/Diamante/p�rola?PS=27&map=c,c,b,specificationFilter_24,priceFrom,specificationFilter_32,ft&O=OrderByNameASC",/joias/colares,PERMANENT
/colecao-gloss,/joias/colecao/gloss,PERMANENT
/colecao-aventura,/joias/colecao/aventura,PERMANENT
/colecao-divas-shine,/joias/colecao/divas-shine,PERMANENT
/anel-de-ouro-amarelo-18k-diamante-1-de-0-01cts-no-total-lapidac-o-brilhante.html,/joias/aneis,PERMANENT
/colecao-refletir,/joias/colecao/refletir,PERMANENT
"/joias/colares/288/215/Perola?PS=50&map=c,c,productClusterIds,productClusterSearchableIds,specificationFilter_32&O=OrderByReviewRateDESC",/joias/colares,PERMANENT
"/joias/colares/404/de-0-a-200/Perola/215?O=OrderByReviewRateDESC&PS=50&map=c,c,productClusterIds,priceFrom,specificationFilter_32,productClusterSearchableIds",/joias/colares,PERMANENT
/anel-solitario-de-ouro-amarelo-18k-com-diamante-de-10cts.html,/aliancas/solitarios,PERMANENT
/anel-de-ouro-amarelo-18k-diamante-9-de-0-045cts-no-total-lapidac-o-brilhante.html,/joias/aneis,PERMANENT
/relogio-off-masculino-pulseira-preta-de-couro-e-mostrador-preto.html,/relogios,PERMANENT
"/brincos/Diamante/de-1001-a-2500?PS=15&map=c,specificationFilter_31,priceFrom",/joias/brincos,PERMANENT
/joias/colecao/maldivas,/aliancas/colecao/maldivas,PERMANENT
/joias/colecao/buque,/aliancas/colecao/buque,PERMANENT
/pingente-de-ouro-amarelo-18k-diamante-nossa-senhora-das-gracas.html,/joias/pingentes,PERMANENT
/colecao-love-prata,/joias/colecao/love-prata,PERMANENT
/anel-de-ouro-amarelo-18k-diamante-quartzo-rosa-nina.html,/joias/aneis,PERMANENT
/colecao-vanity,/joias/colecao/vanity,PERMANENT
/jolie-pulseira-html/l/prata.html,/jolie/pulseiras,PERMANENT
/colecao-fantasia,/joias/colecao/fantasia,PERMANENT
/pingentes-de-prata-e-murano-blue-bubble-jolie.html,/jolie/charms,PERMANENT
/catalogsearch/result/index//l/1228/1203.html/?cat=3&q=musa&ref_tamanho=1202,/,PERMANENT
/brinco-de-prata-e-rodio-zirconia-swarovski-bloom-20428.html,/joias/brincos,PERMANENT
/colecao-jolie gloss,/jolie/colecao/gloss,PERMANENT
/colecao-jolie-familia,/jolie/colecao/familia,PERMANENT
"/aliancas/de-2501-a-5000/25/Ouro Amarelo 18k/ouro amarelo 10k?PS=15&map=c,priceFrom,specificationFilter_21,specificationFilter_22,ft",/aliancas/alianca,PERMANENT
/colecao-luz,/joias/colecao/luz,PERMANENT
/colecao-lacos,/joias/colecao/lacos,PERMANENT
"/joias/colares/de-501-a-1000/P�rola/215/Ouro Amarelo 18k/Ouro Branco 18k?PS=50&map=c,c,priceFrom,specificationFilter_32,productClusterSearchableIds,specificationFilter_24,ft&O=OrderByReleaseDateDESC",/joias/colares,PERMANENT
/pulseira-em-ouro-amarelo-18k-com-perola---baby-au705-z,/joias/infantil,PERMANENT
/brinco-de-prata-unique.html,/joias/brincos,PERMANENT
/relogios/l/unissex.html,/relogios,PERMANENT
/colecao-jolie%20aneis,/jolie/colecao/aneis,PERMANENT
/corrente-de-prata---60cm-c-groumet40805-60,/joias/colares,PERMANENT
/bazar/l/prata.html?utm_campaign=banner_bazar&utm_medium=banner&utm_source=banner_bazar&utm_source=banner_joiasempratabazar&utm_medium=banner&utm_campaign=banner_joiasempratabazar,/,PERMANENT
/en/category/lojas/sao-paulo/,/institucional/nossas-lojas,PERMANENT
/brinco-de-ouro-amarelo-18k-diamante-2-de-0-01cts-no-total-lapidac-o-brilhante-ametista-2-no-total-lapidac-o-oval-peridoto-2-de-0-46cts-no-total-lapidac-o-gota-topazio-2-de-0-285cts-no-total-lapidac-o-redonda.html,/joias/brincos,PERMANENT
"/integracao/11/aneis?PS=27&map=c,specificationFilter_42,ft?PS=27&O=OrderByReleaseDateDESC",/joias/aneis,PERMANENT
"/jolie/de-201-a-500/Brincos?PS=30&map=c,priceFrom,specificationFilter_38",/jolie/brincos,PERMANENT
/colecao-louise,/joias/colecao/louise,PERMANENT
/aliancas/30,/aliancas/alianca,PERMANENT
"/brincos/Diamante/ouro amarelo 18k?O=OrderByNameDESC&PS=15&map=c,specificationFilter_31,ft",/joias/brincos,PERMANENT
/relogio-allora--al2035es-4m/undefined?PS=27&O=OrderByReleaseDateDESC,/relogios/allora,PERMANENT
"/joias/colares/321/Perola?O=OrderByBestDiscountDESC&map=c,c,productClusterIds,specificationFilter_32&PS=108",/joias/colares,PERMANENT
/brinco-sweet-de-ouro-amarelo-18k-com-diamantes-10-e-perola.html,/joias/brincos,PERMANENT
/colecao-jolie-gargantilhas,/jolie/colecao/gargantilhas,PERMANENT
/colecao-alegria-prata,/joias/colecao/alegria-prata,PERMANENT
"/aliancas/alianca/27?PS=27&map=c,c,specificationFilter_21?PS=27&O=OrderByReleaseDateDESC",/aliancas,PERMANENT
/colecao-allure-prata,/joias/colecao/allure-prata,PERMANENT
"/aliancas/alianca/17/Ouro Amarelo 18k/de-2501-a-5000/Diamante?PS=27&map=c,c,specificationFilter_21,specificationFilter_22,priceFrom,specificationFilter_29",/aliancas/alianca,PERMANENT
/relogios/3373/cron%C3%B3grafo/41%20a%2044%20mm/semana%20do%20cliente/prateado/rel=,/relogios,PERMANENT
/anel-de-ouro-amarelo-18k-diamante-4-de-0-02cts-no-total-lapidac-o-brilhante-diamante-6-no-total-lapidac-o-brilhante-topazio-incolor-1-no-total.html,/joias/aneis,PERMANENT
"/aliancas/28/de-201-a-500?PS=27&map=c,specificationFilter_21,priceFrom?PS=27&O=OrderByReleaseDateDESC",/aliancas/alianca,PERMANENT
/colecao-vitoria,/joias/colecao/vitoria,PERMANENT
/colecao-serena,/joias/colecao/serena,PERMANENT
/relogio-monte-carlo-cronografo-masculino-grande-com-cor-preto-com-indices-mistos-visor-de-cristal-mineral-caixa-de-aco-cor-da-caixa-dourado-pulseira-de-nylon-com-cor-preto-resist-ncia-10.html,/relogios/monte-carlo,PERMANENT
/pingentes-de-prata-jolie-murano-constelacao.html,/jolie/charms,PERMANENT
/colecao-pulseiras,/joias/colecao/pulseiras,PERMANENT
/brinco-em-ouro-rosa-18k-com-diamante-chocolate---musa-emc1772mbrr-m/undefined?PS=27&O=OrderByReleaseDateDESC,/joias/brincos,PERMANENT
"/aliancas/Ouro Branco 18k/23?PS=15&map=c,specificationFilter_22,specificationFilter_21?PS=27&O=OrderByReleaseDateDESC",/aliancas/alianca,PERMANENT
/colecao-eden,/joias/colecao/eden,PERMANENT
/pingentes-de-prata-jolie-buda.html,/jolie/charms,PERMANENT
/busca?fq=H:3869,/,PERMANENT
/en/relogio-3/,/relogios,PERMANENT
/aniversario-mc-relogios-html.html,/relogios/monte-carlo,PERMANENT
/colecao-sorrir,/joias/colecao/sorrir,PERMANENT
/anel-de-ouro-amarelo-18k-borboleta.html,/joias/aneis,PERMANENT
/pingente-de-prata-algemas-do-amor.html,/joias/pingentes,PERMANENT
/Sistema/buscavazia?ft=presente%20de%20m�es,/dia-das-maes,PERMANENT
/colecao-jolie-flower,/jolie/colecao/flower,PERMANENT
/relogio-feminino-caixa-dourada-pulseira-de-metal-e-couro-marrom-trancado.html,/relogios,PERMANENT
/colecao-speed,/joias/colecao/speed,PERMANENT
/gargantilha-estrela-de-ouro-amarelo-18kcom-diamantes.html,/joias/colares,PERMANENT
/catalogsearch/result/index//l/1234/1210.html/?p=2&q=diamantes&ref_tamanho=1205&utm_campaign=banner_diamantes080&utm_medium=banner&utm_source=banner_diamantes0807,/,PERMANENT
/relogio-focus-caixa-aco-dourada-pulseira-couro-preta.html,/relogios,PERMANENT
/casamento/grande-dia/para-madrinhas?fq=H:3215&O=OrderByReleaseDateDESC,/casamento,PERMANENT
/jolie-rose,/jolie/colecao/rose,PERMANENT
/brinco-de-prata-com-perola.html,/joias/brincos,PERMANENT
/relogio-feminino-com-pulseira-de-couro-bege-e-mostrador-com-estampa-piton.html,/relogios,PERMANENT
/colecao-las-vegas,/joias/colecao/las-vegas,PERMANENT
/meus-amores.html?utm_source=full banner meus amores&utm_medium=full banner meus amores&utm_content=full banner meus amores&utm_campaign=full banner meus amores,/,PERMANENT
/anel-de-ouro-amarelo-18k-diamante-4-de-0-02cts-no-total-lapidac-o-brilhante-cristal-de-quartzo-1-no-total-lapidac-o-redonda.html,/joias/aneis,PERMANENT
/pingentes-de-prata-jolie-divino.html,/jolie/charms,PERMANENT
/jolie-energia,/jolie/colecao/energia,PERMANENT
/gargantilha-de-ouro-amarelo-18k-e-rodio-diamante-coracao.html,/joias/colares,PERMANENT
/pingentes-de-prata-best-mom-jolie.html,/jolie/charms,PERMANENT
"/joias/colares/288/215/P�rola/Ouro Amarelo 18k/de-501-a-1000?PS=30&map=c,c,productClusterIds,productClusterSearchableIds,specificationFilter_32,specificationFilter_24,priceFrom&O=OrderByReviewRateDESC",/joias/colares,PERMANENT
"/relogios/2462?O=OrderByPriceASC&PS=8&map=c,productClusterSearchableIds",/relogios,PERMANENT
/anel-de-prata-de-prata-e-ouro-amarelo-10k-cornalina-opulence.html,/joias/aneis,PERMANENT
/pingentes-de-prata-de-prata-23154.html,/joias/pingentes,PERMANENT
/colecao-waves,/joias/colecao/waves,PERMANENT
/relogio-everyday-unissex-com-caixa-de-aco-e-pulseira-bicolor.html,/relogios,PERMANENT
/en/sao-paulo-2/,/,PERMANENT
/relogio-monte-carlo-simples-feminino-medio-com-cor-dourado-caixa-de-metal-cor-dourada-pulseira-de-metal-e-couro-com-cor-marrom.html,/relogios/monte-carlo,PERMANENT
/pingentes-de-prata-jolie-buque.html,/jolie/charms,PERMANENT
/colecao-solar,/joias/colecao/solar,PERMANENT
/pingente-chance-de-gota-em-ouro-amarelo-18k-com-topazio-azul.html,/joias/pingentes,PERMANENT
/aliancas/diamante,/aliancas,PERMANENT
/colecao-liz-1/l/ouro-amarelo-18k.html?utm_campaign=bannerliz&utm_content=liz&utm_medium=bannerliz&utm_source=home,/,PERMANENT
/relogio-casual-prateado-com-tachas-no-aro-e-mostrador-preto-estampado.html,/relogios,PERMANENT
/anel-vintage-em-ouro-amarelo-com-diamantes.html,/joias/aneis,PERMANENT
/relogios/342/kate spade,/relogios/kate-spade,PERMANENT
"/joias/colares/215/de-501-a-1000/Ouro Amarelo 18k?PS=27&map=c,c,productClusterSearchableIds,priceFrom,specificationFilter_24?PS=27&O=OrderByReleaseDateDESC",/joias/colares,PERMANENT
/anel-de-ouro-rosa-diamante-chocolate.html,/joias/aneis,PERMANENT
"/bazar-relogios-html/l/feminino/price:2,500.html",/sale,PERMANENT
/relogio-elegance-de-aco-dourado-com-pedras-no-visor.html,/relogios,PERMANENT
/anel-de-ouro-amarelo-prasiolita.html,/joias/aneis,PERMANENT
